mAP: 0.1853                                                                                                                                                                                                    
mATE: 0.8812
mASE: 0.3180
mAOE: 0.8945
mAVE: 1.2402
mAAE: 0.4176
NDS: 0.2415
Eval time: 126.2s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.430   0.603   0.175   0.220   1.973   0.498 
truck                   0.133   0.845   0.265   0.307   1.472   0.436 
bus                     0.151   0.905   0.251   0.524   2.564   0.622 
trailer                 0.016   1.189   0.297   0.815   0.923   0.199 
construction_vehicle    0.008   1.105   0.511   1.762   0.112   0.355 
pedestrian              0.215   0.896   0.321   1.536   0.807   0.716 
motorcycle              0.109   0.861   0.312   1.253   1.635   0.419 
bicycle                 0.103   0.812   0.340   1.394   0.435   0.096 
traffic_cone            0.406   0.691   0.388   nan     nan     nan   
barrier                 0.282   0.906   0.320   0.238   nan     nan   
