Evaluating bboxes of pts_bbox
mAP: 0.2695                                                                                                                                                                                                    
mATE: 0.7990
mASE: 0.2917
mAOE: 0.6845
mAVE: 0.9039
mAAE: 0.2686
NDS: 0.3400
Eval time: 95.9s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.505   0.551   0.166   0.126   0.955   0.242 
truck                   0.223   0.754   0.234   0.187   0.891   0.281 
bus                     0.283   0.828   0.213   0.189   2.123   0.360 
trailer                 0.078   1.123   0.263   0.597   0.688   0.102 
construction_vehicle    0.038   1.211   0.523   1.226   0.097   0.369 
pedestrian              0.317   0.802   0.309   1.428   0.856   0.540 
motorcycle              0.212   0.765   0.271   0.890   1.144   0.201 
bicycle                 0.162   0.780   0.275   1.364   0.478   0.053 
traffic_cone            0.480   0.558   0.357   nan     nan     nan   
barrier                 0.397   0.618   0.307   0.154   nan     nan   
