mAP: 0.1831                                                                                                                                                                                                                                   
mATE: 0.9011
mASE: 0.3174
mAOE: 1.0286
mAVE: 1.1484
mAAE: 0.3643
NDS: 0.2333
Eval time: 109.2s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.428   0.636   0.189   0.276   1.541   0.312 
truck                   0.141   0.865   0.274   0.386   1.311   0.360 
bus                     0.124   1.012   0.258   1.275   2.790   0.514 
trailer                 0.012   1.239   0.279   1.100   0.738   0.120 
construction_vehicle    0.004   1.114   0.539   1.639   0.110   0.362 
pedestrian              0.220   0.892   0.312   1.500   0.818   0.727 
motorcycle              0.105   0.876   0.293   1.314   1.431   0.419 
bicycle                 0.096   0.779   0.321   1.513   0.450   0.099 
traffic_cone            0.414   0.703   0.408   nan     nan     nan   
barrier                 0.289   0.895   0.302   0.254   nan     nan   
{'pts_bbox_NuScenes/car_AP_dist_0.5': 0.0954, 'pts_bbox_NuScenes/car_AP_dist_1.0': 0.3367, 'pts_bbox_NuScenes/car_AP_dist_2.0': 0.5858, 'pts_bbox_NuScenes/car_AP_dist_4.0': 0.6937, 'pts_bbox_NuScenes/car_trans_err': 0.6362, 'pts_bbox_NuScenes/car_scale_err': 0.1888, 'pts_bbox_NuScenes/car_orient_err': 0.2761, 'pts_bbox_NuScenes/car_vel_err': 1.541, 'pts_bbox_NuScenes/car_attr_err': 0.3122, 'pts_bbox_NuScenes/mATE': 0.9011, 'pts_bbox_NuScenes/mASE': 0.3174, 'pts_bbox_NuScenes/mAOE': 1.0286, 'pts_bbox_NuScenes/mAVE': 1.1484, 'pts_bbox_NuScenes/mAAE': 0.3643, 'pts_bbox_NuScenes/truck_AP_dist_0.5': 0.0005, 'pts_bbox_NuScenes/truck_AP_dist_1.0': 0.0657, 'pts_bbox_NuScenes/truck_AP_dist_2.0': 0.2026, 'pts_bbox_NuScenes/truck_AP_dist_4.0': 0.2942, 'pts_bbox_NuScenes/truck_trans_err': 0.8655, 'pts_bbox_NuScenes/truck_scale_err': 0.2737, 'pts_bbox_NuScenes/truck_orient_err': 0.3857, 'pts_bbox_NuScenes/truck_vel_err': 1.3105, 'pts_bbox_NuScenes/truck_attr_err': 0.3602, 'pts_bbox_NuScenes/construction_vehicle_AP_dist_0.5': 0.0, 'pts_bbox_NuScenes/construction_vehicle_AP_dist_1.0': 0.0, 'pts_bbox_NuScenes/construction_vehicle_AP_dist_2.0': 0.003, 'pts_bbox_NuScenes/construction_vehicle_AP_dist_4.0': 0.0145, 'pts_bbox_NuScenes/construction_vehicle_trans_err': 1.114, 'pts_bbox_NuScenes/construction_vehicle_scale_err': 0.5388, 'pts_bbox_NuScenes/construction_vehicle_orient_err': 1.639, 'pts_bbox_NuScenes/construction_vehicle_vel_err': 0.11, 'pts_bbox_NuScenes/construction_vehicle_attr_err': 0.3624, 'pts_bbox_NuScenes/bus_AP_dist_0.5': 0.0, 'pts_bbox_NuScenes/bus_AP_dist_1.0': 0.0397, 'pts_bbox_NuScenes/bus_AP_dist_2.0': 0.1779, 'pts_bbox_NuScenes/bus_AP_dist_4.0': 0.2792, 'pts_bbox_NuScenes/bus_trans_err': 1.0117, 'pts_bbox_NuScenes/bus_scale_err': 0.2577, 'pts_bbox_NuScenes/bus_orient_err': 1.2746, 'pts_bbox_NuScenes/bus_vel_err': 2.7897, 'pts_bbox_NuScenes/bus_attr_err': 0.5141, 'pts_bbox_NuScenes/trailer_AP_dist_0.5': 0.0, 'pts_bbox_NuScenes/trailer_AP_dist_1.0': 0.0, 'pts_bbox_NuScenes/trailer_AP_dist_2.0': 0.0057, 'pts_bbox_NuScenes/trailer_AP_dist_4.0': 0.0413, 'pts_bbox_NuScenes/trailer_trans_err': 1.2388, 'pts_bbox_NuScenes/trailer_scale_err': 0.2787, 'pts_bbox_NuScenes/trailer_orient_err': 1.1, 'pts_bbox_NuScenes/trailer_vel_err': 0.7378, 'pts_bbox_NuScenes/trailer_attr_err': 0.1201, 'pts_bbox_NuScenes/barrier_AP_dist_0.5': 0.0265, 'pts_bbox_NuScenes/barrier_AP_dist_1.0': 0.2218, 'pts_bbox_NuScenes/barrier_AP_dist_2.0': 0.3996, 'pts_bbox_NuScenes/barrier_AP_dist_4.0': 0.5063, 'pts_bbox_NuScenes/barrier_trans_err': 0.8948, 'pts_bbox_NuScenes/barrier_scale_err': 0.302, 'pts_bbox_NuScenes/barrier_orient_err': 0.2542, 'pts_bbox_NuScenes/barrier_vel_err': nan, 'pts_bbox_NuScenes/barrier_attr_err': nan, 'pts_bbox_NuScenes/motorcycle_AP_dist_0.5': 0.0187, 'pts_bbox_NuScenes/motorcycle_AP_dist_1.0': 0.083, 'pts_bbox_NuScenes/motorcycle_AP_dist_2.0': 0.139, 'pts_bbox_NuScenes/motorcycle_AP_dist_4.0': 0.1784, 'pts_bbox_NuScenes/motorcycle_trans_err': 0.8763, 'pts_bbox_NuScenes/motorcycle_scale_err': 0.2934, 'pts_bbox_NuScenes/motorcycle_orient_err': 1.3144, 'pts_bbox_NuScenes/motorcycle_vel_err': 1.4312, 'pts_bbox_NuScenes/motorcycle_attr_err': 0.4195, 'pts_bbox_NuScenes/bicycle_AP_dist_0.5': 0.0293, 'pts_bbox_NuScenes/bicycle_AP_dist_1.0': 0.0859, 'pts_bbox_NuScenes/bicycle_AP_dist_2.0': 0.1233, 'pts_bbox_NuScenes/bicycle_AP_dist_4.0': 0.1438, 'pts_bbox_NuScenes/bicycle_trans_err': 0.779, 'pts_bbox_NuScenes/bicycle_scale_err': 0.3209, 'pts_bbox_NuScenes/bicycle_orient_err': 1.5128, 'pts_bbox_NuScenes/bicycle_vel_err': 0.4495, 'pts_bbox_NuScenes/bicycle_attr_err': 0.0987, 'pts_bbox_NuScenes/pedestrian_AP_dist_0.5': 0.0704, 'pts_bbox_NuScenes/pedestrian_AP_dist_1.0': 0.18, 'pts_bbox_NuScenes/pedestrian_AP_dist_2.0': 0.2771, 'pts_bbox_NuScenes/pedestrian_AP_dist_4.0': 0.3518, 'pts_bbox_NuScenes/pedestrian_trans_err': 0.8917, 'pts_bbox_NuScenes/pedestrian_scale_err': 0.3118, 'pts_bbox_NuScenes/pedestrian_orient_err': 1.5002, 'pts_bbox_NuScenes/pedestrian_vel_err': 0.8179, 'pts_bbox_NuScenes/pedestrian_attr_err': 0.7275, 'pts_bbox_NuScenes/traffic_cone_AP_dist_0.5': 0.106, 'pts_bbox_NuScenes/traffic_cone_AP_dist_1.0': 0.3692, 'pts_bbox_NuScenes/traffic_cone_AP_dist_2.0': 0.546, 'pts_bbox_NuScenes/traffic_cone_AP_dist_4.0': 0.6329, 'pts_bbox_NuScenes/traffic_cone_trans_err': 0.7031, 'pts_bbox_NuScenes/traffic_cone_scale_err': 0.4082, 'pts_bbox_NuScenes/traffic_cone_orient_err': nan, 'pts_bbox_NuScenes/traffic_cone_vel_err': nan, 'pts_bbox_NuScenes/traffic_cone_attr_err': nan, 'pts_bbox_NuScenes/NDS': 0.2332736735248874, 'pts_bbox_NuScenes/mAP': 0.18311697107102404}
