mAP: 0.2732                                                                                                                                                                                                                                                         
mATE: 0.7784
mASE: 0.2945
mAOE: 0.7238
mAVE: 0.8627
mAAE: 0.2542
NDS: 0.3452
Eval time: 91.5s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.501   0.559   0.161   0.118   0.882   0.224 
truck                   0.209   0.744   0.235   0.148   0.807   0.257 
bus                     0.275   0.809   0.220   0.271   2.023   0.344 
trailer                 0.078   1.107   0.254   0.625   0.616   0.076 
construction_vehicle    0.031   1.081   0.505   1.471   0.117   0.336 
pedestrian              0.319   0.797   0.318   1.323   0.852   0.450 
motorcycle              0.204   0.804   0.280   0.920   1.143   0.273 
bicycle                 0.204   0.702   0.295   1.470   0.462   0.074 
traffic_cone            0.496   0.555   0.355   nan     nan     nan   
barrier                 0.416   0.626   0.322   0.168   nan     nan   
