mAP: 0.2637                                                                                                                                                                                                    
mATE: 0.7800
mASE: 0.2988
mAOE: 0.7316
mAVE: 0.9051
mAAE: 0.2516
NDS: 0.3351
Eval time: 90.0s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.507   0.557   0.161   0.132   0.989   0.221 
truck                   0.177   0.788   0.248   0.208   0.877   0.237 
bus                     0.280   0.840   0.223   0.205   2.047   0.382 
trailer                 0.062   1.103   0.249   0.558   0.580   0.065 
construction_vehicle    0.023   1.062   0.549   1.573   0.111   0.333 
pedestrian              0.321   0.799   0.311   1.417   0.856   0.468 
motorcycle              0.192   0.795   0.291   0.976   1.212   0.263 
bicycle                 0.170   0.718   0.289   1.365   0.568   0.046 
traffic_cone            0.491   0.549   0.348   nan     nan     nan   
barrier                 0.414   0.589   0.318   0.149   nan     nan   
{'pts_bbox_NuScenes/car_AP_dist_0.5': 0.153, 'pts_bbox_NuScenes/car_AP_dist_1.0': 0.4251, 'pts_bbox_NuScenes/car_AP_dist_2.0': 0.6741, 'pts_bbox_NuScenes/car_AP_dist_4.0': 0.7768, 'pts_bbox_NuScenes/car_trans_err': 0.5569, 'pts_bbox_NuScenes/car_scale_err': 0.1613, 'pts_bbox_NuScenes/car_orient_err': 0.1322, 'pts_bbox_NuScenes/car_vel_err': 0.9893, 'pts_bbox_NuScenes/car_attr_err': 0.2206, 'pts_bbox_NuScenes/mATE': 0.78, 'pts_bbox_NuScenes/mASE': 0.2988, 'pts_bbox_NuScenes/mAOE': 0.7316, 'pts_bbox_NuScenes/mAVE': 0.9051, 'pts_bbox_NuScenes/mAAE': 0.2516, 'pts_bbox_NuScenes/truck_AP_dist_0.5': 0.0045, 'pts_bbox_NuScenes/truck_AP_dist_1.0': 0.0892, 'pts_bbox_NuScenes/truck_AP_dist_2.0': 0.2443, 'pts_bbox_NuScenes/truck_AP_dist_4.0': 0.3691, 'pts_bbox_NuScenes/truck_trans_err': 0.7884, 'pts_bbox_NuScenes/truck_scale_err': 0.2479, 'pts_bbox_NuScenes/truck_orient_err': 0.208, 'pts_bbox_NuScenes/truck_vel_err': 0.8775, 'pts_bbox_NuScenes/truck_attr_err': 0.2367, 'pts_bbox_NuScenes/construction_vehicle_AP_dist_0.5': 0.0, 'pts_bbox_NuScenes/construction_vehicle_AP_dist_1.0': 0.0006, 'pts_bbox_NuScenes/construction_vehicle_AP_dist_2.0': 0.0287, 'pts_bbox_NuScenes/construction_vehicle_AP_dist_4.0': 0.0627, 'pts_bbox_NuScenes/construction_vehicle_trans_err': 1.0619, 'pts_bbox_NuScenes/construction_vehicle_scale_err': 0.5494, 'pts_bbox_NuScenes/construction_vehicle_orient_err': 1.5729, 'pts_bbox_NuScenes/construction_vehicle_vel_err': 0.1107, 'pts_bbox_NuScenes/construction_vehicle_attr_err': 0.3331, 'pts_bbox_NuScenes/bus_AP_dist_0.5': 0.006, 'pts_bbox_NuScenes/bus_AP_dist_1.0': 0.1614, 'pts_bbox_NuScenes/bus_AP_dist_2.0': 0.4115, 'pts_bbox_NuScenes/bus_AP_dist_4.0': 0.5413, 'pts_bbox_NuScenes/bus_trans_err': 0.8405, 'pts_bbox_NuScenes/bus_scale_err': 0.2233, 'pts_bbox_NuScenes/bus_orient_err': 0.2055, 'pts_bbox_NuScenes/bus_vel_err': 2.0473, 'pts_bbox_NuScenes/bus_attr_err': 0.3816, 'pts_bbox_NuScenes/trailer_AP_dist_0.5': 0.0, 'pts_bbox_NuScenes/trailer_AP_dist_1.0': 0.0078, 'pts_bbox_NuScenes/trailer_AP_dist_2.0': 0.0817, 'pts_bbox_NuScenes/trailer_AP_dist_4.0': 0.1579, 'pts_bbox_NuScenes/trailer_trans_err': 1.1026, 'pts_bbox_NuScenes/trailer_scale_err': 0.2486, 'pts_bbox_NuScenes/trailer_orient_err': 0.5583, 'pts_bbox_NuScenes/trailer_vel_err': 0.5797, 'pts_bbox_NuScenes/trailer_attr_err': 0.0652, 'pts_bbox_NuScenes/barrier_AP_dist_0.5': 0.1296, 'pts_bbox_NuScenes/barrier_AP_dist_1.0': 0.3958, 'pts_bbox_NuScenes/barrier_AP_dist_2.0': 0.5345, 'pts_bbox_NuScenes/barrier_AP_dist_4.0': 0.5942, 'pts_bbox_NuScenes/barrier_trans_err': 0.5887, 'pts_bbox_NuScenes/barrier_scale_err': 0.3185, 'pts_bbox_NuScenes/barrier_orient_err': 0.1492, 'pts_bbox_NuScenes/barrier_vel_err': nan, 'pts_bbox_NuScenes/barrier_attr_err': nan, 'pts_bbox_NuScenes/motorcycle_AP_dist_0.5': 0.0417, 'pts_bbox_NuScenes/motorcycle_AP_dist_1.0': 0.1471, 'pts_bbox_NuScenes/motorcycle_AP_dist_2.0': 0.2603, 'pts_bbox_NuScenes/motorcycle_AP_dist_4.0': 0.3205, 'pts_bbox_NuScenes/motorcycle_trans_err': 0.7952, 'pts_bbox_NuScenes/motorcycle_scale_err': 0.2913, 'pts_bbox_NuScenes/motorcycle_orient_err': 0.9761, 'pts_bbox_NuScenes/motorcycle_vel_err': 1.2123, 'pts_bbox_NuScenes/motorcycle_attr_err': 0.2626, 'pts_bbox_NuScenes/bicycle_AP_dist_0.5': 0.0467, 'pts_bbox_NuScenes/bicycle_AP_dist_1.0': 0.1432, 'pts_bbox_NuScenes/bicycle_AP_dist_2.0': 0.2211, 'pts_bbox_NuScenes/bicycle_AP_dist_4.0': 0.2707, 'pts_bbox_NuScenes/bicycle_trans_err': 0.7175, 'pts_bbox_NuScenes/bicycle_scale_err': 0.2889, 'pts_bbox_NuScenes/bicycle_orient_err': 1.3652, 'pts_bbox_NuScenes/bicycle_vel_err': 0.5684, 'pts_bbox_NuScenes/bicycle_attr_err': 0.0455, 'pts_bbox_NuScenes/pedestrian_AP_dist_0.5': 0.0952, 'pts_bbox_NuScenes/pedestrian_AP_dist_1.0': 0.2586, 'pts_bbox_NuScenes/pedestrian_AP_dist_2.0': 0.4137, 'pts_bbox_NuScenes/pedestrian_AP_dist_4.0': 0.5156, 'pts_bbox_NuScenes/pedestrian_trans_err': 0.7993, 'pts_bbox_NuScenes/pedestrian_scale_err': 0.3108, 'pts_bbox_NuScenes/pedestrian_orient_err': 1.4174, 'pts_bbox_NuScenes/pedestrian_vel_err': 0.8561, 'pts_bbox_NuScenes/pedestrian_attr_err': 0.4677, 'pts_bbox_NuScenes/traffic_cone_AP_dist_0.5': 0.1698, 'pts_bbox_NuScenes/traffic_cone_AP_dist_1.0': 0.4698, 'pts_bbox_NuScenes/traffic_cone_AP_dist_2.0': 0.6243, 'pts_bbox_NuScenes/traffic_cone_AP_dist_4.0': 0.7005, 'pts_bbox_NuScenes/traffic_cone_trans_err': 0.5493, 'pts_bbox_NuScenes/traffic_cone_scale_err': 0.3484, 'pts_bbox_NuScenes/traffic_cone_orient_err': nan, 'pts_bbox_NuScenes/traffic_cone_vel_err': nan, 'pts_bbox_NuScenes/traffic_cone_attr_err': nan, 'pts_bbox_NuScenes/NDS': 0.3351313916271531, 'pts_bbox_NuScenes/mAP': 0.26371616230481726}
