mAP: 0.2666                                                                                                                                                                                                    
mATE: 0.7824
mASE: 0.3009
mAOE: 0.7414
mAVE: 0.9035
mAAE: 0.2409
NDS: 0.3364
Eval time: 86.0s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.487   0.570   0.162   0.128   1.061   0.236 
truck                   0.206   0.788   0.241   0.262   0.902   0.228 
bus                     0.287   0.800   0.234   0.268   1.965   0.356 
trailer                 0.056   1.095   0.281   0.571   0.740   0.064 
construction_vehicle    0.020   1.021   0.523   1.527   0.131   0.341 
pedestrian              0.315   0.799   0.315   1.358   0.852   0.458 
motorcycle              0.195   0.832   0.287   0.985   1.164   0.217 
bicycle                 0.185   0.748   0.282   1.415   0.413   0.028 
traffic_cone            0.485   0.573   0.361   nan     nan     nan   
barrier                 0.429   0.599   0.323   0.158   nan     nan   
